"","year","tows.x","b_mean","b_se","p_mean","p_se","f_mean","f_se","tows.y","u_mean","u_se","e_mean","e_se","n_mean","n_se","tows","1_mean","1_se","2_mean","2_se","3_mean","3_se","4_mean","4_se","5_mean","5_se"
"1",1990,13,0.0693719911568421,0.0372594978182017,0.0825104503339797,0.0297210684825169,0.848117558509178,0.0504711674952667,13,0.934845203413294,0.0364814971505506,0.000307692307692308,0.000307692307692308,0.064847104279014,0.0364414133392587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1991,15,0.0126792685239871,0.00794648634054835,0.0635839636585573,0.0349637098104577,0.923736767817456,0.0382697494062928,14,0.986415069438585,0.00848027721570314,0,0,0.0135849305614147,0.00848027721570314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1992,13,0.0217000093923171,0.0143099530710486,0.0725051657743965,0.0335047693465618,0.905794824833286,0.0357272744246389,13,0.987530759838452,0.00878707238890282,0,0,0.0124692401615479,0.00878707238890281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1993,9,0.0281746031746032,0.0222753050804543,0.109147884997404,0.0545740363775148,0.862677511827993,0.074067354567868,9,0.971825396825397,0.0222753050804543,0,0,0.0281746031746032,0.0222753050804543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1994,9,0.0140517413303562,0.00970244122964423,0.0445622070285991,0.0184722449718169,0.941386051641045,0.0224272448787546,9,0.985948258669644,0.00970244122964424,0,0,0.0140517413303562,0.00970244122964423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1995,8,0.0201808608058608,0.0115126829253764,0.038456498951782,0.0229650794527673,0.941362640242357,0.0288967731016301,8,0.979819139194139,0.0115126829253764,0,0,0.0201808608058608,0.0115126829253764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1996,9,0.00766416789646581,0.00358436406571526,0.426310112884908,0.0846261567862284,0.566025719218627,0.0830783064002523,9,0.993543561572133,0.00317121261793894,0,0,0.00645643842786678,0.00317121261793894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1997,10,0.00206959706959707,0.00149940988241466,0.243387757335126,0.0739163742583071,0.754542645595277,0.0738283566929223,7,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1998,4,0.125,0.125,0.365036231884058,0.143633831812884,0.509963768115942,0.0763936623740064,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1999,12,0.00978336827393431,0.00922638791081852,0.240788365479763,0.0404479739126361,0.749428266246303,0.0387721711856709,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2000,13,0.000411353352529823,0.000411353352529823,0.12780020928328,0.0419002463696161,0.87178843736419,0.0419726460961577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2001,14,0.0783491415474656,0.0710036394139332,0.23595048561964,0.0749986038382167,0.685700372832894,0.089480485865725,8,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2002,11,0.00536743957796589,0.00476184743167841,0.159710232868128,0.0351364148168571,0.834922327553906,0.0340378387009859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2003,13,0.00446775446775447,0.00302806085239314,0.145087661857049,0.0356650609290953,0.850444583675197,0.0352137105903992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2004,14,0.0250583434270632,0.0130852794148202,0.158714401447233,0.0320046253011405,0.816227255125704,0.0356097801786333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2005,9,0,0,0.681917211328976,0.159588844994118,0.318082788671024,0.159588844994118,9,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2006,3,0,0,0.647953216374269,0.231865261013225,0.352046783625731,0.231865261013225,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"18",2007,4,0,0,0.647644927536232,0.127922797102329,0.352355072463768,0.127922797102329,4,1,0,0,0,0,0,4,0.991847826086957,0.00815217391304349,0.00815217391304348,0.00815217391304348,0,0,0,0,0,0
"19",2008,5,0.00579710144927536,0.00579710144927536,0.407774640818119,0.158306430824309,0.586428257732606,0.156929005065007,5,1,0,0,0,0,0,5,0.911111111111111,0.0888888888888889,0,0,0.0888888888888889,0.0888888888888889,0,0,0,0
"20",2009,14,0.127863080746761,0.0755627508602165,0.424210296038027,0.105416819469802,0.447926623215212,0.0974632107474124,13,0.938103765395416,0.0354241248437945,0.0618962346045845,0.0354241248437945,0,0,14,0.749127875815182,0.109581772850731,0.00602404123854809,0.00262583086319145,0.0133170485315554,0.0085670024914455,0.112021159340929,0.0768721014570066,0.119509875073785,0.0763289215624117
"21",2011,19,0.0590230973072076,0.0523740544034465,0.442076134405746,0.0882992433938011,0.498900768287047,0.0882746186379457,19,0.888345323745424,0.071888527355971,0.0526315789473684,0.0526315789473684,0.0590230973072076,0.0523740544034465,19,0.919924271113845,0.0552104079532007,0.0210526315789474,0.0210526315789474,0,0,0.0526315789473684,0.0526315789473684,0.0063915183598392,0.00321492962785118
"22",2012,28,0.0773770404852885,0.0413499062082589,0.834472127859918,0.050627102006826,0.0881508316547938,0.0284268858382057,28,0.917520918698385,0.0438470288610431,0.00510204081632653,0.00510204081632653,0.0773770404852885,0.0413499062082589,28,0.893268671928117,0.0441787890358009,0.0293542875865943,0.0139049841231282,0,0,0.0695965378021127,0.0394944000689345,0.00778050268317578,0.00523082132746783
"23",2013,30,0.0381615875265769,0.0333254121819326,0.742215008459058,0.0499780018536966,0.219623404014365,0.0433056961298199,30,0.960297334898483,0.0332833090060287,0.00223207686622321,0.00171559764352134,0.0374705882352941,0.0333257178191575,30,0.959872260158839,0.0332885864855534,0.0016260162601626,0.0016260162601626,0.000340136054421769,0.000340136054421769,0.000200803212851406,0.000200803212851406,0.0379607843137255,0.0333326937853772
"24",2017,16,0.0807291666666667,0.0624513538822278,0.709836129964806,0.0885042482963988,0.209434703368527,0.072178916493527,16,0.924131944444444,0.0628522577018941,0,0,0.0758680555555555,0.0628522577018941,16,0.978298611111111,0.0207935093909905,0,0,0,0,0.0217013888888889,0.0207935093909905,0,0
"25",2018,17,0.0588235294117647,0.0588235294117647,0.938550665021253,0.0586887308505905,0.00262580556698204,0.00186196408965873,17,0.879355938179468,0.0803152385514695,0.0618205324087677,0.0586932080348524,0.0588235294117647,0.0588235294117647,16,0.995185810810811,0.0034518337573013,0.00481418918918919,0.0034518337573013,0,0,0,0,0,0
